"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61265","should have the proper data against each URL l&D/CLIENTS/PROJECTS/WORK-BOARDS ","","Mon Sep 29 13:26:49 PKT 2025","failed","Mon Sep 29 13:27:50 PKT 2025","","testing the urls of the Main Menu","testing the urls of the Main Menu","should have the proper data against each URL l&D/CLIENTS/PROJECTS/WORK-BOARDS "
"","117","should not leak data in preflight (OPTIONS) request For Employee Module","","Mon Sep 29 14:14:03 PKT 2025","passed","Mon Sep 29 14:14:04 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Employee Module"
"","21221","should have the proper data against each URL LEADMANAGER/CUSTOMAPPROVALS/TRAVELS ","","Mon Sep 29 13:26:28 PKT 2025","failed","Mon Sep 29 13:26:49 PKT 2025","","testing the urls of the Main Menu","testing the urls of the Main Menu","should have the proper data against each URL LEADMANAGER/CUSTOMAPPROVALS/TRAVELS "
"","1367","APi Testing get action Chart of account ","","Mon Sep 29 13:25:24 PKT 2025","passed","Mon Sep 29 13:25:25 PKT 2025","","chart of acounts use cases","chart of acounts use cases","APi Testing get action Chart of account "
"","492","should display the contents against each URL","","Mon Sep 29 13:30:33 PKT 2025","broken","Mon Sep 29 13:30:34 PKT 2025","","crashtest for the modules against each URL for the Language Urdu","crashtest for the modules against each URL for the Language Urdu","should display the contents against each URL"
"","181","should validate the response and payload for the requisition module","","Mon Sep 29 14:14:34 PKT 2025","broken","Mon Sep 29 14:14:34 PKT 2025","","server response verifications","server response verifications","should validate the response and payload for the requisition module"
"","1786","should verify of the title","","Mon Sep 29 13:50:30 PKT 2025","passed","Mon Sep 29 13:50:32 PKT 2025","","login validation","login validation","should verify of the title"
"","168","should not leak data in preflight (OPTIONS) request For Expense Module","","Mon Sep 29 14:14:07 PKT 2025","passed","Mon Sep 29 14:14:07 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Expense Module"
"","225","should validate the response and payload for the Custom Approval Category ","","Mon Sep 29 14:12:19 PKT 2025","passed","Mon Sep 29 14:12:19 PKT 2025","","server response verifications Administration Module","server response verifications Administration Module","should validate the response and payload for the Custom Approval Category "
"","1724","should be able to edit the created roster","","Mon Sep 29 14:08:17 PKT 2025","passed","Mon Sep 29 14:08:19 PKT 2025","","Rosters","Rosters","should be able to edit the created roster"
"","181","should not leak data in preflight (OPTIONS) request For Tasks Module","","Mon Sep 29 14:14:08 PKT 2025","passed","Mon Sep 29 14:14:08 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Tasks Module"
"","187","should validate the response and payload for the quotation module module","","Mon Sep 29 14:14:32 PKT 2025","broken","Mon Sep 29 14:14:32 PKT 2025","","server response verifications","server response verifications","should validate the response and payload for the quotation module module"
"","72","should be able to allocate the members ","","Mon Sep 29 14:08:19 PKT 2025","passed","Mon Sep 29 14:08:19 PKT 2025","","Rosters","Rosters","should be able to allocate the members "
"","1750","Too many request for the newsfeed post ","","Thu May 08 15:53:20 PKT 2025","failed","Thu May 08 15:53:22 PKT 2025","","Checking too many request","",""
"","117679","should create posting with the tag member only ","","Mon Sep 29 13:54:09 PKT 2025","passed","Mon Sep 29 13:56:07 PKT 2025","","Newsfeed module","Newsfeed module","should create posting with the tag member only "
"","144","should validate the response and payload for the Expense module","","Mon Sep 29 14:14:30 PKT 2025","broken","Mon Sep 29 14:14:30 PKT 2025","","server response verifications","server response verifications","should validate the response and payload for the Expense module"
"","131","should not leak data in preflight (OPTIONS) request For Payrole Module","","Mon Sep 29 14:14:08 PKT 2025","passed","Mon Sep 29 14:14:09 PKT 2025","","security test","security test","should not leak data in preflight (OPTIONS) request For Payrole Module"
"","83866","creation of career","","Mon Sep 29 13:22:47 PKT 2025","broken","Mon Sep 29 13:24:10 PKT 2025","","Careers module","Careers module","creation of career"
"","21251","should have the correct fields in the Complain","","Mon Sep 29 13:39:12 PKT 2025","failed","Mon Sep 29 13:39:33 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the Complain"
"","125503","should have the correct fields in the warning ","","Mon Sep 29 13:35:08 PKT 2025","passed","Mon Sep 29 13:37:13 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the warning "
"","24627","should remove poll ","","Mon Sep 29 14:02:01 PKT 2025","passed","Mon Sep 29 14:02:25 PKT 2025","","Newsfeed module","Newsfeed module","should remove poll "
"","123445","should have the correct fields in the Careers","","Mon Sep 29 13:40:17 PKT 2025","passed","Mon Sep 29 13:42:21 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in the Careers"
"","12314","pop up alert messages should be there once roster is created ","","Mon Sep 29 14:08:20 PKT 2025","failed","Mon Sep 29 14:08:32 PKT 2025","","Rosters","Rosters","pop up alert messages should be there once roster is created "
"","101958","should have the correct fields in Expense ","","Mon Sep 29 13:31:00 PKT 2025","failed","Mon Sep 29 13:32:42 PKT 2025","","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","validate the field text of CustomApproval/Expenses/Appraisals/Promotions/Warning/Bonus/Complains/Rewards/leaves/Careers/Salary/Loans/Resignation/QuotatinsPayroll","should have the correct fields in Expense "
"","321","should validate the response and payload for the Business Association ","","Mon Sep 29 14:12:15 PKT 2025","passed","Mon Sep 29 14:12:15 PKT 2025","","server response verifications Administration Module","server response verifications Administration Module","should validate the response and payload for the Business Association "
"","21339","should have the mandatory field mark in the title  ","","Mon Sep 29 14:06:15 PKT 2025","failed","Mon Sep 29 14:06:36 PKT 2025","","Quotation ","Quotation ","should have the mandatory field mark in the title  "
"","1032","should validate the post is created and then deleted successfully","","Mon Sep 29 14:13:04 PKT 2025","passed","Mon Sep 29 14:13:05 PKT 2025","","post api newsfeed","post api newsfeed","should validate the post is created and then deleted successfully"
"","22188","should create new shift","","Mon Sep 29 14:06:49 PKT 2025","failed","Mon Sep 29 14:07:11 PKT 2025","","Rosters","Rosters","should create new shift"
